EAN,PRODUTO,REFERENCIA,DESCRICAO,COR,TAMANHO,ESTOQUE,LOCALIZADOR
9000005121602,538602,333000014,CALÇA PLANA LISA COM TRANÇA,OCRE,6,12,08 05 02
9000005121619,538603,333000014,CALÇA PLANA LISA COM TRANÇA,OCRE,8,9,08 05 02
9000005121626,538604,333000014,CALÇA PLANA LISA COM TRANÇA,OCRE,10,10,08 05 02
9000005121633,538605,333000014,CALÇA PLANA LISA COM TRANÇA,OCRE,12,4,08 05 02
9000005082323,535309,221001716,BLUSA MALHA MULLET ESTAMPA LA PUREZA,ESTAMPADO,P,26,08 04 06
9000005082330,535310,221001716,BLUSA MALHA MULLET ESTAMPA LA PUREZA,ESTAMPADO,M,12,08 04 06
9000005082347,535311,221001716,BLUSA MALHA MULLET ESTAMPA LA PUREZA,ESTAMPADO,G,19,08 04 06
9000005082354,535312,221001716,BLUSA MALHA MULLET ESTAMPA LA PUREZA,ESTAMPADO,GG,25,08 04 06
9000005123330,538732,221001716,BLUSA MALHA MULLET ESTAMPA LA PUREZA,ESTAMPADO,XG,2,08 04 06
9000005047308,532538,233000248,CALÇA PLANA ESTAMPA LISTRA MOURA,ESTAMPADO,P,28,08 04 05
9000005047315,532539,233000248,CALÇA PLANA ESTAMPA LISTRA MOURA,ESTAMPADO,M,8,08 04 05
9000005047322,532540,233000248,CALÇA PLANA ESTAMPA LISTRA MOURA,ESTAMPADO,G,6,08 04 05
9000005047339,532541,233000248,CALÇA PLANA ESTAMPA LISTRA MOURA,ESTAMPADO,GG,13,08 04 05
9000005134220,539775,335000056,SHORT SAIA PLANO LISA COM PREGAS,VERMELHO,8,15,08 04 05
9000005134237,539776,335000056,SHORT SAIA PLANO LISA COM PREGAS,VERMELHO,10,4,08 04 05
9000005134244,539777,335000056,SHORT SAIA PLANO LISA COM PREGAS,VERMELHO,12,9,08 04 05
9000005098645,536590,231003944,CAMISA PLANA LISA COM DET MARTINGALE,VERDE,P,1,08 04 04
